Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken,pick_time,distance
37.0,4.9,Sunny,High,2,Snack,motorcycle,1.0,No,Urban,24,11,3.025
34.0,4.5,Stormy,Jam,2,Snack,scooter,2.0,No,Metropolitian,33,19,20.184
23.0,4.4,Sandstorms,Low,0,Drinks,motorcycle,2.0,No,Urban,26,8,1.553
38.0,4.7,Sunny,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,21,18,7.79
32.0,4.6,Cloudy,High,1,Snack,scooter,2.0,No,Metropolitian,30,13,6.21
22.0,4.8,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Urban,26,21,4.61
33.0,4.7,Fog,Jam,1,Meal,scooter,2.0,No,Metropolitian,40,19,16.6
35.0,4.6,Cloudy,Medium,2,Meal,motorcycle,2.0,No,Metropolitian,32,17,20.205
22.0,4.8,Stormy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,34,21,19.976
36.0,4.2,Fog,Jam,2,Snack,motorcycle,4.0,No,Metropolitian,46,22,10.281
21.0,4.7,Stormy,High,1,Meal,motorcycle,2.0,No,Metropolitian,23,15,6.242
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,2.0,No,Metropolitian,21,17,13.788
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,9,2.93
24.0,4.7,Fog,Jam,1,Snack,scooter,2.0,No,Metropolitian,41,20,19.397
29.0,4.5,Sandstorms,Jam,2,Buffet,scooter,2.0,No,Metropolitian,20,20,13.764
35.0,4.0,Windy,High,1,Meal,scooter,2.0,No,Metropolitian,33,15,6.218
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,2.0,No,Metropolitian,40,20,16.85
34.0,4.9,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,41,20,10.757
21.0,4.7,Windy,Jam,0,Meal,motorcycle,2.0,No,Urban,15,21,4.541
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,36,20,12.256
31.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,26,22,19.619
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,2.0,No,Metropolitian,20,8,1.558
33.0,4.3,Windy,Jam,2,Meal,scooter,2.0,No,Metropolitian,39,19,20.181
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,2.0,No,Metropolitian,34,12,6.117
29.0,4.5,Sunny,Medium,2,Meal,scooter,2.0,No,Metropolitian,15,18,17.076
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,1.0,No,Urban,18,20,4.47
35.0,4.3,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,38,23,13.682
32.0,4.0,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,47,21,13.973
23.0,4.8,Windy,Low,2,Buffet,scooter,1.0,No,Urban,12,23,16.854
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,2.0,No,Metropolitian,26,22,4.674
36.0,4.1,Stormy,Low,0,Drinks,motorcycle,2.0,No,Urban,22,22,7.602
26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,21,23,7.72
38.0,4.9,Cloudy,High,1,Drinks,scooter,2.0,No,Urban,25,13,6.176
32.0,3.5,Stormy,Jam,1,Snack,scooter,1.0,No,Urban,35,21,17.298
32.0,4.6,Cloudy,Low,2,Drinks,scooter,2.0,No,Metropolitian,30,22,19.915
